step  Time    model_proteinGFP        target_proteinGFP        
0   0    0.000000   0.000000   
1   10    8.461000   0.622400   
2   20    50.835999   17.927000   
3   30    85.348000   60.490799   
4   40    100.366997   97.939003   
5   50    100.427002   112.056198   
6   60    92.279999   106.786201   
7   70    80.044998   91.012802   
8   80    68.426003   72.951599   
9   90    57.522999   55.906200   
10   100    48.071999   41.288601   
11   110    40.530998   29.778999   
12   120    34.209999   21.158600   
13   130    29.701000   14.821400   
14   140    26.225000   10.238400   
15   150    22.974001   7.035200   
16   160    20.586000   4.816000   
17   170    18.546000   3.261000   
