step  Time    model_proteinGFP        target_proteinGFP        
0   0    0.000000   0.000000   
1   10    0.181000   0.010600   
2   20    2.990000   1.326400   
3   30    8.963000   8.126200   
4   40    15.274000   21.760000   
5   50    20.215000   37.889999   
6   60    23.256001   51.474998   
7   70    24.778000   60.221199   
8   80    24.782000   63.148800   
9   90    24.021999   61.351601   
10   100    23.243000   56.241001   
11   110    21.683001   49.233002   
12   120    20.254999   41.763199   
13   130    18.690001   34.684200   
14   140    17.309999   28.214800   
15   150    15.983000   22.697201   
16   160    14.949000   17.822399   
17   170    14.119000   13.892600   
