step  Time    model_rna1        model_rna2        model_rna3        model_protein1        model_protein2        model_protein3        target_rna1        target_rna2        target_rna3        target_protein1        target_protein2        target_protein3        
48   48    26.018000   10.985000   3.070000   48.055000   15.604000   2.700000   29.978001   10.993800   1.659400   50.103001   18.236799   2.831800   
49   49    26.031000   10.801000   3.079000   48.098000   15.617000   2.707000   29.976400   10.962800   1.651000   50.120602   18.224600   2.812400   
50   50    26.007999   10.849000   3.065000   47.931999   15.678000   2.625000   29.962000   10.914200   1.644400   49.947399   18.340200   2.800800   
51   51    26.104000   10.809000   3.073000   48.188999   15.776000   2.655000   29.943600   10.948800   1.658200   49.985600   18.257799   2.769800   
52   52    26.263000   10.826000   3.107000   48.290001   15.767000   2.648000   29.997200   10.993400   1.652200   49.966202   18.296801   2.779000   
53   53    26.233000   10.631000   3.130000   48.285999   15.578000   2.571000   30.001400   11.021000   1.608800   49.957401   18.281601   2.725800   
54   54    26.201000   10.765000   3.169000   48.169998   15.511000   2.791000   29.984600   10.985200   1.589000   50.074600   18.351000   2.696800   
55   55    26.469000   10.749000   3.092000   48.222000   15.508000   2.591000   29.999399   10.993600   1.569800   50.109200   18.309999   2.674400   
56   56    26.318001   10.769000   3.093000   48.526001   15.687000   2.704000   30.009600   10.990000   1.575200   49.975601   18.389200   2.662400   
57   57    26.358999   10.694000   3.164000   48.459000   15.520000   2.766000   29.998600   11.022800   1.566600   50.027401   18.440399   2.637200   
58   58    26.257000   10.788000   3.160000   48.521999   15.468000   2.821000   29.995001   11.041000   1.548200   49.951801   18.419399   2.638400   
59   59    26.174000   10.609000   3.217000   48.616001   15.474000   2.869000   30.021000   11.026600   1.559600   49.844398   18.440599   2.637200   
60   60    26.016001   10.681000   3.259000   48.598999   15.588000   2.789000   30.036400   10.990400   1.548800   50.038601   18.393600   2.604200   
61   61    26.136999   10.674000   3.274000   48.040001   15.357000   2.890000   30.056000   10.991200   1.525600   49.974400   18.370199   2.588400   
62   62    26.165001   10.664000   3.263000   47.758999   15.208000   2.981000   30.045601   10.985200   1.500800   50.084599   18.253000   2.588400   
63   63    25.976999   10.650000   3.294000   47.923000   15.278000   2.863000   30.042801   10.990000   1.488200   50.007999   18.334200   2.571200   
64   64    25.857000   10.868000   3.187000   47.782001   15.486000   2.843000   29.993601   10.951000   1.464800   50.042400   18.315599   2.529200   
65   65    25.934999   10.792000   3.141000   47.966999   15.742000   2.862000   29.965200   10.985200   1.466600   49.973801   18.271601   2.492800   
66   66    26.045000   10.845000   3.093000   47.960999   15.626000   2.788000   29.995800   10.939200   1.475200   49.783798   18.373400   2.461400   
67   67    26.034000   10.823000   3.009000   47.796001   15.786000   2.666000   30.058399   10.955000   1.460400   49.996399   18.228600   2.451600   
68   68    25.975000   10.660000   2.927000   47.916000   15.400000   2.585000   30.040199   11.004000   1.477400   49.909000   18.234800   2.450600   
69   69    25.940001   10.758000   2.931000   47.673000   15.463000   2.588000   30.022400   11.041800   1.478200   49.904400   18.309200   2.446800   
70   70    25.906000   10.835000   2.887000   47.720001   15.580000   2.628000   30.037201   11.050600   1.487200   50.024799   18.407400   2.464800   
71   71    26.070000   10.838000   2.822000   47.919998   15.447000   2.579000   30.094000   11.004200   1.474200   50.076401   18.380800   2.431400   
72   72    26.169001   10.788000   2.824000   47.946999   15.576000   2.567000   30.124001   11.040600   1.469200   50.056198   18.423201   2.434200   
73   73    26.094000   10.815000   2.792000   47.886002   15.497000   2.473000   30.125200   11.047200   1.476200   50.007000   18.347200   2.477200   
74   74    26.141001   10.825000   2.732000   48.609001   15.484000   2.450000   30.145599   11.027200   1.459200   50.042999   18.289600   2.453400   
75   75    25.934999   10.793000   2.629000   48.226002   15.626000   2.364000   30.170401   11.039000   1.457200   50.020401   18.347601   2.446800   
76   76    26.072001   10.801000   2.703000   47.747002   15.574000   2.483000   30.218399   11.040000   1.479200   50.113201   18.358200   2.461800   
77   77    26.177000   10.862000   2.650000   47.957001   15.620000   2.377000   30.237600   11.046600   1.493400   50.287800   18.311001   2.475200   
78   78    26.239000   10.836000   2.670000   48.035000   15.879000   2.314000   30.195000   11.072000   1.506600   50.088600   18.334999   2.479600   
79   79    26.193001   10.929000   2.721000   48.075001   15.700000   2.458000   30.131201   11.097200   1.519800   50.072399   18.364401   2.505600   
80   80    26.169001   10.756000   2.722000   47.632000   15.632000   2.425000   30.108801   11.096000   1.527000   50.110199   18.439600   2.500000   
81   81    26.162001   10.815000   2.736000   47.944000   15.298000   2.434000   30.033199   11.060800   1.525000   49.954800   18.408800   2.495800   
82   82    26.084999   10.761000   2.736000   48.422001   15.548000   2.462000   30.019800   11.049000   1.548000   49.979198   18.363001   2.502400   
83   83    26.327999   10.730000   2.791000   48.375000   15.562000   2.391000   30.052000   11.045200   1.565400   49.859402   18.441601   2.543400   
84   84    26.231001   10.681000   2.855000   48.418999   15.581000   2.538000   30.028601   11.077600   1.559600   50.129601   18.442600   2.558800   
85   85    26.281000   10.796000   2.881000   48.210999   15.519000   2.512000   30.005400   11.071800   1.565800   50.066399   18.566401   2.597600   
86   86    26.121000   10.812000   2.876000   48.348999   15.522000   2.533000   30.037001   11.080400   1.584200   49.986599   18.575199   2.616000   
87   87    26.059000   10.872000   2.901000   48.126999   15.474000   2.548000   30.026800   11.085800   1.574600   49.969398   18.533001   2.596600   
88   88    26.170000   10.785000   2.806000   48.123001   15.610000   2.570000   29.961201   11.081800   1.560000   49.876999   18.422600   2.585200   
