time	rna1	rna2	rna3	protein1	protein2	protein3
104	29.9932	11.0494	1.5436	49.841	18.5382	2.5962
105	29.9872	11.0764	1.548	49.8592	18.4708	2.5658
106	30.0054	11.0494	1.5514	49.8032	18.4446	2.5806
107	30.0244	11.062	1.5188	49.7348	18.433	2.5672
108	29.991	11.0506	1.5006	49.9324	18.463	2.5466
109	29.9904	11.0666	1.507	49.9742	18.4236	2.5318
110	30.0136	11.0494	1.5168	49.9062	18.4696	2.534
111	30.0108	11.0858	1.5102	49.9196	18.4886	2.5064
112	29.9922	11.0594	1.509	49.8898	18.4792	2.5214
113	29.9354	11.0802	1.5046	49.8482	18.4404	2.5016
114	29.9142	11.067	1.5232	49.8526	18.4574	2.5246
115	29.915	11.0884	1.5092	49.9572	18.3756	2.5488
116	29.9308	11.0834	1.5142	49.9256	18.4446	2.5164
117	29.9136	11.0812	1.51	49.7626	18.4336	2.509
118	29.912	11.0434	1.5098	49.8752	18.3856	2.5042
